epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,421.757,0.47405,0.39006,0.86973,0.98111,0.97654,0.99324,0.95604,0.36234,0.26569,0.80855,0.00999159,0.00333053,0.00999159,0.00333053,0.00999159,0.00333053,0.00999159,0.00333053
2,786.214,0.50504,0.2595,0.86768,0.9831,0.96896,0.99297,0.941,0.39819,0.27536,0.82182,0.0197937,0.00659789,0.0197937,0.00659789,0.0197937,0.00659789,0.0197937,0.00659789
3,1137.78,0.54863,0.29421,0.8856,0.96658,0.96799,0.99102,0.92766,0.41418,0.28171,0.83239,0.0293978,0.00979925,0.0293978,0.00979925,0.0293978,0.00979925,0.0293978,0.00979925
4,1486.29,0.56367,0.30598,0.89177,0.95964,0.94261,0.98642,0.92465,0.40082,0.51669,0.82951,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1868,0.52234,0.2647,0.88034,0.968,0.96312,0.99085,0.94687,0.36956,0.45997,0.81925,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2218.79,0.50481,0.24871,0.87523,0.98418,0.98237,0.99393,0.96007,0.34557,0.23363,0.81316,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2569.33,0.48622,0.22581,0.86635,0.98556,0.98213,0.99428,0.9564,0.35401,0.2036,0.81581,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2917.67,0.46465,0.21625,0.86074,0.98658,0.9857,0.99437,0.96779,0.32266,0.14858,0.80598,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3267.26,0.45288,0.20959,0.8584,0.98481,0.98203,0.99432,0.96481,0.32636,0.19216,0.81204,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3618.27,0.44525,0.20535,0.85394,0.98392,0.98752,0.99458,0.97051,0.30961,0.14051,0.799,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
